id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3863609,5,Быстро ,1.0,0.0,0.0,0.0,0.0,0.7631069512003628,0.0,0.49068289423637496,0.0,0.0
3866829,5,Спасибо за своевременное выполнение заявки...,0.0,1.0,0.0,1.0,0.0,0.022379257637958453,0.6449932991862211,0.14106865249197986,0.9455795882446626,0.10647091175315115
3866867,5,все сделали быстро. спасибо ,1.0,0.0,0.0,1.0,0.0,0.9130886731391586,0.05,0.10210114830197899,0.7019147920864728,0.04
3868883,5,всё отлично 👍,0.0,0.0,0.0,1.0,0.0,0.0,0.013837535014005602,0.0,1.0,0.0
3871379,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм ",1.0,0.0,0.0,0.0,0.0,0.5925706188897039,0.03836021505376344,0.104399824259934,0.22078846061000582,0.0
3872129,5,благодарю ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3873692,5,оперативно и качественно. спасибо ,1.0,1.0,0.0,0.0,0.0,0.93,0.6869981796812291,0.17879118412943068,0.4626169362702198,0.0
3874941,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3875262,5,"благодарю, всего доброго!",0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3876790,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3876998,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3877186,5,Спасибо большое! ,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3877315,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3877334,3,К мастеру вопросов нет.  ,0.0,0.0,1.0,0.0,0.0,0.04568653858798873,0.03570430133543432,0.9783000571009576,0.08625494297677103,0.048119823600743565
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1.0,0.0,1.0,1.0,0.0,0.76,0.03,0.89,0.7587492428831011,0.0
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0.0,0.0,1.0,0.0,0.0,0.03161787153589125,0.017547287419202598,0.9092917391827724,0.10155625003927662,0.08413908989018137
3878555,5,спасибо большое! надолго ли🙄,0.0,0.0,0.0,1.0,0.0,0.004015553199010251,0.01393939393939394,0.08703324322028201,0.725060534814978,0.18890186734852007
3878808,5,Огромное спасибо! ,0.0,0.0,1.0,1.0,0.0,0.011264742944690726,0.01491803629515494,0.5717967506220897,0.5427901718524686,0.019182159815010428
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,0.0,0.0,0.0,1.0,0.0,0.04,0.01565217391304348,0.07866498740554156,0.9391023318243458,0.0
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,0.0,0.0,0.0,1.0,0.0,0.01370847270658603,0.1890414347557205,0.08526233983428722,0.8640767211026962,0.01430421274438036
3880717,3,снимаю звезду за первую отписку без выполнения работ,0.0,0.0,0.0,0.0,1.0,0.020175660280215696,0.08027706233997207,0.13256661074490264,0.3223744610292083,0.7477297816659183
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",1.0,0.0,1.0,1.0,0.0,0.9405463414634148,0.06370171246515333,0.7896380951754233,0.8491945978664889,0.0
3881432,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3881460,5,Спасибо! Все заработало ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
